# Matter power spectrum P(k) at redshift z=1
# for k=1.03578e-05 to 130.533 h/Mpc,
# number of wavenumbers equal to 133
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.035782969760e-05       1.832929796386e+01 
       1.303973501734e-05       2.290631215705e+01 
       1.641605377639e-05       2.862622989399e+01 
       2.066658726048e-05       3.577441398735e+01 
       2.601769187728e-05       4.470745705849e+01 
       3.275433346053e-05       5.587093842640e+01 
       4.123526273985e-05       6.982156379014e+01 
       5.191212012520e-05       8.725482676567e+01 
       6.535348720573e-05       1.090393970062e+02 
       8.227516579266e-05       1.362599013974e+02 
       1.035782969760e-04       1.702699135292e+02 
       1.303973501734e-04       2.127572647621e+02 
       1.641605377639e-04       2.658239138802e+02 
       2.066658726048e-04       3.320823495814e+02 
       2.601769187728e-04       4.147696111220e+02 
       3.275433346053e-04       5.178778036446e+02 
       4.123526273985e-04       6.462958323049e+02 
       5.191212012520e-04       8.059505647460e+02 
       6.535348720573e-04       1.003927793458e+03 
       8.227516579266e-04       1.248546915329e+03 
       1.035782969760e-03       1.549355328711e+03 
       1.303973501734e-03       1.916968550508e+03 
       1.641605377639e-03       2.362516633314e+03 
       2.066658726048e-03       2.896705949113e+03 
       2.601769187728e-03       3.528037700563e+03 
       3.275433346053e-03       4.260336448141e+03 
       4.123526273985e-03       5.089267921230e+03 
       5.191212012520e-03       5.997720536724e+03 
       6.535348720573e-03       6.950561977556e+03 
       8.227516579266e-03       7.888034969074e+03 
       1.035782969760e-02       8.720870833596e+03 
       1.303973501734e-02       9.326687614911e+03 
       1.641605377637e-02       9.555993843528e+03 
       2.066658712046e-02       9.262660767295e+03 
       2.601758077790e-02       8.379840507819e+03 
       3.273842823519e-02       7.041420985048e+03 
       4.068968012690e-02       5.700755402725e+03 
       4.745793847159e-02       4.929767501050e+03 
       5.235536024914e-02       4.554460801984e+03 
       5.638358649068e-02       4.322333947413e+03 
       5.997531768995e-02       4.148036601026e+03 
       6.332256403584e-02       3.996061242696e+03 
       6.652658698778e-02       3.848586263827e+03 
       6.964794671965e-02       3.696247687291e+03 
       7.272634568366e-02       3.534519532866e+03 
       7.578972165769e-02       3.362303001919e+03 
       7.885889178402e-02       3.181041812465e+03 
       8.195012860258e-02       2.994100985824e+03 
       8.507668432064e-02       2.806059044643e+03 
       8.824974060652e-02       2.622286104550e+03 
       9.147902588023e-02       2.447975402849e+03 
       9.477323066556e-02       2.287835205778e+03 
       9.814029519725e-02       2.145528746078e+03 
       1.015876133279e-01       2.023214214220e+03 
       1.051221798827e-01       1.921283300817e+03 
       1.087506987545e-01       1.838504047056e+03 
       1.124796630881e-01       1.771843815003e+03 
       1.163154152059e-01       1.716761657907e+03 
       1.202641915830e-01       1.667611857379e+03 
       1.243321566525e-01       1.618266129283e+03 
       1.285254282220e-01       1.563104145190e+03 
       1.328500966164e-01       1.498106291270e+03 
       1.373122392182e-01       1.421762977712e+03 
       1.419179317827e-01       1.335641714426e+03 
       1.466732577121e-01       1.244038577599e+03 
       1.515843163452e-01       1.153096147151e+03 
       1.566572312396e-01       1.069102073424e+03 
       1.618981593752e-01       9.970532846187e+02 
       1.673133021727e-01       9.393184108189e+02 
       1.729089192040e-01       8.951678974894e+02 
       1.786913454569e-01       8.607714312507e+02 
       1.846670130087e-01       8.306021584216e+02 
       1.908424779561e-01       7.983986901541e+02 
       1.972244534555e-01       7.593834341177e+02 
       2.038198497385e-01       7.127126319580e+02 
       2.106358219985e-01       6.617288495845e+02 
       2.176798271044e-01       6.119714509965e+02 
       2.249596901908e-01       5.683104868664e+02 
       2.324836823211e-01       5.333116976527e+02 
       2.402606106348e-01       5.063410799221e+02 
       2.482999226898e-01       4.836018161933e+02 
       2.566118271281e-01       4.603038916368e+02 
       2.652074333479e-01       4.335516585961e+02 
       2.740989136145e-01       4.037541070958e+02 
       2.832996920227e-01       3.741130493676e+02 
       2.928246660344e-01       3.483057574354e+02 
       3.026904680346e-01       3.273875452770e+02 
       3.129157766548e-01       3.095766212036e+02 
       3.235216906961e-01       2.919928800829e+02 
       3.345321826707e-01       2.729558000706e+02 
       3.459746547217e-01       2.534741575983e+02 
       3.578806276616e-01       2.356156228060e+02 
       3.702866051250e-01       2.203447582055e+02 
       3.832351709571e-01       2.065190313830e+02 
       3.967764014579e-01       1.926442347511e+02 
       4.109697089908e-01       1.786461291552e+02 
       4.258862863029e-01       1.655499363477e+02 
       4.416124027373e-01       1.537353811301e+02 
       4.582539333609e-01       1.425780819620e+02 
       4.759427137032e-01       1.315209914073e+02 
       4.948456684398e-01       1.209555639490e+02 
       5.151782804126e-01       1.111535751192e+02 
       5.372250822858e-01       1.016272237328e+02 
       5.613719568994e-01       9.239082438949e+01 
       5.881591982718e-01       8.356143287248e+01 
       6.183730083290e-01       7.489932446494e+01 
       6.532125563586e-01       6.642810004385e+01 
       6.946161912397e-01       5.799042206277e+01 
       7.459491534804e-01       4.948586891880e+01 
       8.135706736445e-01       4.072849148283e+01 
       9.105389494958e-01       3.154851664506e+01 
       1.063587667746e+00       2.207650152236e+01 
       1.307717934960e+00       1.362545651397e+01 
       1.643356570617e+00       7.916819241582e+00 
       2.068805043167e+00       4.539624572246e+00 
       2.604471014795e+00       2.581646063837e+00 
       3.278834744682e+00       1.457302388852e+00 
       4.127808381153e+00       8.170906072681e-01 
       5.196602866051e+00       4.553236311476e-01 
       6.542135403074e+00       2.523083741070e-01 
       8.236060506328e+00       1.390935695809e-01 
       1.036858586449e+01       7.632003954370e-02 
       1.305327622918e+01       4.169198523922e-02 
       1.643310115208e+01       2.268262544137e-02 
       2.068804863494e+01       1.229368165393e-02 
       2.604471014696e+01       6.638847540639e-03 
       3.278834744682e+01       3.572459396471e-03 
       4.127808381153e+01       1.915758260361e-03 
       5.196602866051e+01       1.023634911953e-03 
       6.542135403074e+01       5.448300135961e-04 
       8.236060506328e+01       2.886868436127e-04 
       1.036858586449e+02       1.521236801148e-04 
       1.305327622918e+02       7.958801038476e-05 
